E; project; Constr. de um Reator Saturado em 13,8kV no sist. de Transm. para aval. de desemp.; vpl; 134653.5; cost; 1170900
E; project; Construção de cerca e estacionamento em uma SE; vpl; 1867.91666666667; cost; 75153
E; project; Construção de Estacionamento em UHE; vpl; 4277; cost; 26541
E; project; Construção de travessias sobre Canaletas em uma SE de São José; vpl; 4584454.25; cost; 182365487
E; project; Contr. de uma estrutura laboratorial de sistemas eólicos; vpl; 250000; cost; 1900000
E; project; Instalação da LT ARARAQUARA/CAMPINAS 500KV; vpl; 809975.11; cost; 1028939
E; project; Instalação de Sistema Optico - SE; vpl; 125000; cost; 31000000
E; project; Instalação do Sist. Ótico para a LT CAMPOS-R.LEAO 138KV; vpl; 8774.42; cost; 12421.6
E; project; Instalação do Sist. Ótico para a LT R.LEAO-MAGE 138KV; vpl; 7926.64; cost; 18500
E; project; Montagem e Instal. de Sala Cofre em E.Central; vpl; 5614; cost; 35142
E; project; Obra Vestiário Academia da empresa; vpl; 3514; cost; 22014
E; project; Implantação de SIST. MICROONDAS - B.ALTO E NIQUELANDIA; vpl; 4534.33333333333; cost; 92931
E; project; Implantação de SIST. MICROONDAS - DIGITAL. ROTA ITAIPU; vpl; 1388.31; cost; 351686
E; project; Implantação de SIST. MICROONDAS - SE STA CRUZ / ANGRA; vpl; 1842; cost; 3000
E; project; Construção de garagem com escritório para órgão na UTE de Campos; vpl; 8530.41666666667; cost; 256317
E; project; Implantação de Sist. Ar condicionado e ventilação em escritório de UTE em S. Cruz; vpl; 1278.5; cost; 33280.53
E; project; Implantação de Ciclo Combinado em UTE localizada em Santa Cruz; vpl; 211780.583333333; cost; 5883827
E; project; Instalação de Combustor Piloto de Leito Fluidizado Circulante Multicombustível; vpl; 456617; cost; 2123800
E; project; Obra de ampliação de Posto Médico em SE localizada em Vitoria; vpl; 121962; cost; 13214254
E; project; Implantação/Aquisição/Substituição de Sist de Combate a Incêndio; vpl; 816666.64; cost; 5000000
E; project; Implantação/Aquisição/Substituição de Pára-raios; vpl; 85000; cost; 418000
E; project; Implantação de Bacia de contenção nas instalações de uma SE; vpl; 585.0475; cost; 1728446
E; project; Implantação de telefonia IP em SE´s; vpl; 333333.333333333; cost; 2900000
E; project; Instal. Módulo de Geração Elétrica para interligação a Turbina Eólica do tipo Multipás; vpl; 37982.5618; cost; 399816.44
E; project; Construção do Sistema de transmissão MACAE(RJ)-CAMPOS(RJ) (Parte III); vpl; 468512.833333333; cost; 9088385
E; risk; Não renovação das concessões de Geração e Transmissão; probability; 35
E; risk; Regulação do preço de venda de energia ; probability; 34
E; risk; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; probability; 45
E; risk; Ingerência Política ; probability; 47
E; risk; Não atendimento de exigências de órgãos regulamentadores e fiscalizadores ; probability; 37
E; risk; Atraso na obtenção de licenças / autorizações ambientais ; probability; 36
E; risk; Falha no acompanhamento das mudanças da legislação de interesse da empresa; probability; 52
E; risk; Falta de renovação e recomposição da força de trabalho ; probability; 49
E; risk; Cenários internos não alinhados com o planejamento estratégico; probability; 37
E; risk; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; probability; 46
R; affects; Não renovação das concessões de Geração e Transmissão; Constr. de um Reator Saturado em 13,8kV no sist. de Transm. para aval. de desemp.; impact; -351270
R; affects; Não renovação das concessões de Geração e Transmissão; Construção de cerca e estacionamento em uma SE; impact; -22545.9
R; affects; Não renovação das concessões de Geração e Transmissão; Construção de Estacionamento em UHE; impact; -7962.3
R; affects; Não renovação das concessões de Geração e Transmissão; Construção de travessias sobre Canaletas em uma SE de São José; impact; -54709646.1
R; affects; Não renovação das concessões de Geração e Transmissão; Contr. de uma estrutura laboratorial de sistemas eólicos; impact; -570000
R; affects; Não renovação das concessões de Geração e Transmissão; Instalação da LT ARARAQUARA/CAMPINAS 500KV; impact; -308681.7
R; affects; Não renovação das concessões de Geração e Transmissão; Instalação de Sistema Optico - SE; impact; -9300000
R; affects; Não renovação das concessões de Geração e Transmissão; Instalação do Sist. Ótico para a LT CAMPOS-R.LEAO 138KV; impact; -3726.48
R; affects; Não renovação das concessões de Geração e Transmissão; Instalação do Sist. Ótico para a LT R.LEAO-MAGE 138KV; impact; -5550
R; affects; Não renovação das concessões de Geração e Transmissão; Montagem e Instal. de Sala Cofre em E.Central; impact; -10542.6
R; affects; Não renovação das concessões de Geração e Transmissão; Obra Vestiário Academia da empresa; impact; -6604.2
R; affects; Não renovação das concessões de Geração e Transmissão; Implantação de SIST. MICROONDAS - B.ALTO E NIQUELANDIA; impact; -27879.3
R; affects; Não renovação das concessões de Geração e Transmissão; Implantação de SIST. MICROONDAS - DIGITAL. ROTA ITAIPU; impact; -105505.8
R; affects; Não renovação das concessões de Geração e Transmissão; Implantação de SIST. MICROONDAS - SE STA CRUZ / ANGRA; impact; -900
R; affects; Não renovação das concessões de Geração e Transmissão; Construção de garagem com escritório para órgão na UTE de Campos; impact; -76895.1
R; affects; Não renovação das concessões de Geração e Transmissão; Implantação de Sist. Ar condicionado e ventilação em escritório de UTE em S. Cruz; impact; -9984.159
R; affects; Não renovação das concessões de Geração e Transmissão; Implantação de Ciclo Combinado em UTE localizada em Santa Cruz; impact; -1765148.1
R; affects; Não renovação das concessões de Geração e Transmissão; Instalação de Combustor Piloto de Leito Fluidizado Circulante Multicombustível; impact; -637140
R; affects; Não renovação das concessões de Geração e Transmissão; Obra de ampliação de Posto Médico em SE localizada em Vitoria; impact; -3964276.2
R; affects; Não renovação das concessões de Geração e Transmissão; Implantação/Aquisição/Substituição de Sist de Combate a Incêndio; impact; -1500000
R; affects; Não renovação das concessões de Geração e Transmissão; Implantação/Aquisição/Substituição de Pára-raios; impact; -125400
R; affects; Não renovação das concessões de Geração e Transmissão; Implantação de Bacia de contenção nas instalações de uma SE; impact; -518533.8
R; affects; Não renovação das concessões de Geração e Transmissão; Implantação de telefonia IP em SE´s; impact; -870000
R; affects; Não renovação das concessões de Geração e Transmissão; Instal. Módulo de Geração Elétrica para interligação a Turbina Eólica do tipo Multipás; impact; -119944.932
R; affects; Não renovação das concessões de Geração e Transmissão; Construção do Sistema de transmissão MACAE(RJ)-CAMPOS(RJ) (Parte III); impact; -2726515.5
R; affects; Regulação do preço de venda de energia ; Constr. de um Reator Saturado em 13,8kV no sist. de Transm. para aval. de desemp.; impact; -77133.27168
R; affects; Regulação do preço de venda de energia ; Construção de cerca e estacionamento em uma SE; impact; -4950.7189056
R; affects; Regulação do preço de venda de energia ; Construção de Estacionamento em UHE; impact; -1748.3936832
R; affects; Regulação do preço de venda de energia ; Construção de travessias sobre Canaletas em uma SE de São José; impact; -12013362.9292224
R; affects; Regulação do preço de venda de energia ; Contr. de uma estrutura laboratorial de sistemas eólicos; impact; -125162.88
R; affects; Regulação do preço de venda de energia ; Instalação da LT ARARAQUARA/CAMPINAS 500KV; impact; -67781.5624128
R; affects; Regulação do preço de venda de energia ; Instalação de Sistema Optico - SE; impact; -2042131.2
