E; project; 2ª ETAPA DE MELHORIAS NO SIST. OPTICO DE UMA SE; vpl; 5274.58; cost; 10450
E; project; Manutenção Caixa separadora de Água e Óleo; vpl; 1333.33333333333; cost; 20000
E; project; Manutenção de Sistemas de Esgoto; vpl; 2333.33333333333; cost; 40000
E; project; Manutenção Sistema de Drenagem; vpl; 2000; cost; 38000
E; project; Melhoria Blindagem Descargas Atmosferica; vpl; 91666.6666666667; cost; 1800000
E; project; Melhorias à Proteção contra Descargas Atmosf.  em uma SE; vpl; 101007.9675; cost; 7300805
E; project; Melhorias nas Redes de Transmissão de dados da sede; vpl; 1333333.33333333; cost; 14000000
E; project; Melhorias no Sistema de tratamento de Alarmes em Centros de Controle da empresa; vpl; 76073.65; cost; 661510
E; project; Melhorias Sist de Ar Condicionado em UHE; vpl; 1666.66666666667; cost; 80000
E; project; Modern. Serv. Auxiliares de uma SE; vpl; 806.8175; cost; 21150
E; project; Modern. Serv. Auxiliares de uma SE em Jacarepaguá; vpl; 93.225; cost; 10000
E; project; Modern. Sistema de Ar Condicionado nos postos de trabalho; vpl; 18000; cost; 804000
E; project; MODERN.REDE OPTICA-US.ST.CRUZ/SE VITORIA; vpl; 3165.08333333333; cost; 51200
E; project; MODERN.SINCRONO-SE VITORIA; vpl; 8060.98166666667; cost; 170343
E; project; Moderniz. do Sistema Óptico Norte-Sul; vpl; 1250000; cost; 11000000
E; project; Modernização das Proteções de uma SE; vpl; 8177.66666666667; cost; 111220
E; project; Modernização das Proteções de uma SE em Itaberá; vpl; 10466.2366666667; cost; 313500
E; project; Modernização das Proteções de uma SE em Poços de Caldas; vpl; 13444.875; cost; 220780
E; project; MODERNIZACAO de UHE em BH; vpl; 166785.3625; cost; 22504233
E; project; MODERNIZACAO de UHE em FUNIL; vpl; 4307.9725; cost; 71575
E; project; Modernização do SINDAC  de uma SE em Ibiuna; vpl; 70518.0141666667; cost; 2500000
E; project; Modernização do Sist. Ctrl. do elo de CC entre duas SE´s; vpl; 81364.5466666667; cost; 2525000
E; project; Modernização do SIST. OPTICO - SUPERV. INFRAESTRUTURA; vpl; 6513.57416666667; cost; 495921
E; project; Modernização do SIST. OPTICO DE EQUIP. ROTA RIO/VITORIA; vpl; 3546.91666666667; cost; 94929
E; project; Modernização do SIST. OPTICO DE LT R VERDE-B.PEIXE/CORUMB; vpl; 18596.1666666667; cost; 448034
E; project; Modernização do SIST. OPTICO DE LT. CAMPOS/VITORIA 345 KV; vpl; 1979.06916666667; cost; 10000
E; project; Modernização do SIST. OPTICO DE P.CALDAS-BANCO DE BATERIA; vpl; 5179.25; cost; 51130
E; project; Modernização do SIST. OPTICO DE SIST. INTEGRADO DE GERENCIA; vpl; 4899.58333333333; cost; 83604.09
E; project; Modernização do SIST. OPTICO EM SE DE ARARAQUARA; vpl; 8438.58333333333; cost; 172932
E; project; Modernização do sistema de observabilidade e controlabilidade; vpl; 2244.72583333333; cost; 249752
E; project; MODERNIZACAO SISTEMA TELECOMUNICACOES; vpl; 500000; cost; 8100000
E; project; Reforço LT 500 kV Itaberá-Tijuco Preto I; vpl; 36547; cost; 12364789
E; project; Reforço LT 500kV Itaberá-Tijuco Preto II; vpl; 1126; cost; 2569845
E; project; Repotencialização da LT S.Cruz/Jacarepaguá (Parte I); vpl; 100; cost; 102
E; project; Repotencialização da LT Santa Cruz/Jacarepaguá (Parte II); vpl; 578; cost; 866
E; project; Reprod,. Larvicultura e Caract. Genética de Surubim Pseudoplatystoma Coruscans; vpl; 243463.099; cost; 4869261.98
E; project; Retific Canal Externo de SE; vpl; 8673.81666666667; cost; 200000
E; project; REVITALIZACAO TRAFOS de uma SE em Barreiro; vpl; 18129.72; cost; 67347
E; project; Subs Disjunt. obsoletos em uma SE de Porto Colombia; vpl; 125431.361666667; cost; 1998480
E; project; SUBST. 3 DIJUNTORES 345KV de uma SE em Itutinga; vpl; 34383.4708333333; cost; 982198
E; project; Subst. de Trafo de Corrente Alternada para CC; vpl; 1200000; cost; 4300000
E; project; Subst. de Transformadores; vpl; 11000000; cost; 18000000
E; project; Subst. do Grupo Gerador de uma SE; vpl; 13769.1666666667; cost; 260000
E; project; Substituição de DISJ. 230KV obsoletos de uma SE em Bandeirantes; vpl; 1175; cost; 6734
E; project; Substituição de DISJ. 230KV obsoletos de uma SE em Brasilia; vpl; 8060.98166666667; cost; 306734
E; project; Substituição de DISJ. 230KV obsoletos de uma SE em Cachoeira Dourada; vpl; 1003.5; cost; 56734
E; project; Substituição de Disjuntores Alta Tensão; vpl; 3500000; cost; 9000000
E; project; UTE Campos - Melhorias; vpl; 8538.75; cost; 161000.08
E; project; UTE Campos - Repotencialização; vpl; 54373.4166666667; cost; 119749.21
E; project; UTE São Gonçalo - Revitalização; vpl; 79706; cost; 145314.54
E; risk; Não renovação das concessões de Geração e Transmissão; probability; 35
E; risk; Regulação do preço de venda de energia ; probability; 34
E; risk; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; probability; 45
E; risk; Ingerência Política ; probability; 47
E; risk; Não atendimento de exigências de órgãos regulamentadores e fiscalizadores ; probability; 37
E; risk; Atraso na obtenção de licenças / autorizações ambientais ; probability; 36
E; risk; Falha no acompanhamento das mudanças da legislação de interesse da empresa; probability; 52
E; risk; Falta de renovação e recomposição da força de trabalho ; probability; 49
E; risk; Cenários internos não alinhados com o planejamento estratégico; probability; 37
E; risk; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; probability; 46
R; affects; Não renovação das concessões de Geração e Transmissão; 2ª ETAPA DE MELHORIAS NO SIST. OPTICO DE UMA SE; impact; -3135
R; affects; Não renovação das concessões de Geração e Transmissão; Manutenção Caixa separadora de Água e Óleo; impact; -6000
R; affects; Não renovação das concessões de Geração e Transmissão; Manutenção de Sistemas de Esgoto; impact; -12000
R; affects; Não renovação das concessões de Geração e Transmissão; Manutenção Sistema de Drenagem; impact; -11400
R; affects; Não renovação das concessões de Geração e Transmissão; Melhoria Blindagem Descargas Atmosferica; impact; -540000
R; affects; Não renovação das concessões de Geração e Transmissão; Melhorias à Proteção contra Descargas Atmosf.  em uma SE; impact; -2190241.5
R; affects; Não renovação das concessões de Geração e Transmissão; Melhorias nas Redes de Transmissão de dados da sede; impact; -4200000
R; affects; Não renovação das concessões de Geração e Transmissão; Melhorias no Sistema de tratamento de Alarmes em Centros de Controle da empresa; impact; -198453
R; affects; Não renovação das concessões de Geração e Transmissão; Melhorias Sist de Ar Condicionado em UHE; impact; -24000
R; affects; Não renovação das concessões de Geração e Transmissão; Modern. Serv. Auxiliares de uma SE; impact; -6345
R; affects; Não renovação das concessões de Geração e Transmissão; Modern. Serv. Auxiliares de uma SE em Jacarepaguá; impact; -3000
R; affects; Não renovação das concessões de Geração e Transmissão; Modern. Sistema de Ar Condicionado nos postos de trabalho; impact; -241200
R; affects; Não renovação das concessões de Geração e Transmissão; MODERN.REDE OPTICA-US.ST.CRUZ/SE VITORIA; impact; -15360
R; affects; Não renovação das concessões de Geração e Transmissão; MODERN.SINCRONO-SE VITORIA; impact; -51102.9
R; affects; Não renovação das concessões de Geração e Transmissão; Moderniz. do Sistema Óptico Norte-Sul; impact; -3300000
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização das Proteções de uma SE; impact; -33366
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização das Proteções de uma SE em Itaberá; impact; -94050
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização das Proteções de uma SE em Poços de Caldas; impact; -66234
R; affects; Não renovação das concessões de Geração e Transmissão; MODERNIZACAO de UHE em BH; impact; -6751269.9
R; affects; Não renovação das concessões de Geração e Transmissão; MODERNIZACAO de UHE em FUNIL; impact; -21472.5
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do SINDAC  de uma SE em Ibiuna; impact; -750000
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do Sist. Ctrl. do elo de CC entre duas SE´s; impact; -757500
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do SIST. OPTICO - SUPERV. INFRAESTRUTURA; impact; -148776.3
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do SIST. OPTICO DE EQUIP. ROTA RIO/VITORIA; impact; -28478.7
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do SIST. OPTICO DE LT R VERDE-B.PEIXE/CORUMB; impact; -134410.2
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do SIST. OPTICO DE LT. CAMPOS/VITORIA 345 KV; impact; -3000
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do SIST. OPTICO DE P.CALDAS-BANCO DE BATERIA; impact; -15339
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do SIST. OPTICO DE SIST. INTEGRADO DE GERENCIA; impact; -25081.227
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do SIST. OPTICO EM SE DE ARARAQUARA; impact; -51879.6
R; affects; Não renovação das concessões de Geração e Transmissão; Modernização do sistema de observabilidade e controlabilidade; impact; -74925.6
R; affects; Não renovação das concessões de Geração e Transmissão; MODERNIZACAO SISTEMA TELECOMUNICACOES; impact; -2430000
R; affects; Não renovação das concessões de Geração e Transmissão; Reforço LT 500 kV Itaberá-Tijuco Preto I; impact; -3709436.7
R; affects; Não renovação das concessões de Geração e Transmissão; Reforço LT 500kV Itaberá-Tijuco Preto II; impact; -770953.5
R; affects; Não renovação das concessões de Geração e Transmissão; Repotencialização da LT S.Cruz/Jacarepaguá (Parte I); impact; -30.6
R; affects; Não renovação das concessões de Geração e Transmissão; Repotencialização da LT Santa Cruz/Jacarepaguá (Parte II); impact; -259.8
R; affects; Não renovação das concessões de Geração e Transmissão; Reprod,. Larvicultura e Caract. Genética de Surubim Pseudoplatystoma Coruscans; impact; -1460778.594
R; affects; Não renovação das concessões de Geração e Transmissão; Retific Canal Externo de SE; impact; -60000
R; affects; Não renovação das concessões de Geração e Transmissão; REVITALIZACAO TRAFOS de uma SE em Barreiro; impact; -20204.1
R; affects; Não renovação das concessões de Geração e Transmissão; Subs Disjunt. obsoletos em uma SE de Porto Colombia; impact; -599544
R; affects; Não renovação das concessões de Geração e Transmissão; SUBST. 3 DIJUNTORES 345KV de uma SE em Itutinga; impact; -294659.4
R; affects; Não renovação das concessões de Geração e Transmissão; Subst. de Trafo de Corrente Alternada para CC; impact; -1290000
R; affects; Não renovação das concessões de Geração e Transmissão; Subst. de Transformadores; impact; -5400000
R; affects; Não renovação das concessões de Geração e Transmissão; Subst. do Grupo Gerador de uma SE; impact; -78000
R; affects; Não renovação das concessões de Geração e Transmissão; Substituição de DISJ. 230KV obsoletos de uma SE em Bandeirantes; impact; -2020.2
R; affects; Não renovação das concessões de Geração e Transmissão; Substituição de DISJ. 230KV obsoletos de uma SE em Brasilia; impact; -92020.2
R; affects; Não renovação das concessões de Geração e Transmissão; Substituição de DISJ. 230KV obsoletos de uma SE em Cachoeira Dourada; impact; -17020.2
